iter	Passed	Remaining
0	10	804
1	11	430
2	30	733
3	40	710
4	42	600
5	47	542
6	55	538
7	60	506
8	75	555
9	77	501
10	98	575
11	105	552
12	136	650
13	137	601
14	141	565
15	166	613
16	187	641
17	207	656
18	210	621
19	227	626
20	238	614
21	244	589
22	261	592
23	265	564
24	286	572
25	288	543
26	290	516
27	308	517
28	325	516
29	345	517
30	364	517
31	382	513
32	384	488
33	385	464
34	406	464
35	427	463
36	436	448
37	444	432
38	456	421
39	479	419
40	484	402
41	491	385
42	496	369
43	518	365
44	521	347
45	535	337
46	555	331
47	578	325
48	596	316
49	608	304
50	637	299
51	665	294
52	697	289
53	729	283
54	761	276
55	770	261
56	782	247
57	794	232
58	824	223
59	847	211
60	853	195
61	870	182
62	885	168
63	910	156
64	929	143
65	942	128
66	967	115
67	992	102
68	1017	88
69	1045	74
70	1056	59
71	1075	44
72	1093	29
73	1112	15
74	1138	0
